Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Sunday,0,0:00,12402431560,0.240162652,466418008,0.07058385,13.809,0.176815137,19,0.073170732,12161.46757,0.41422065,1044.351371,0.245024989,17740.67018,0.805949759,1108.131308,0.213393796,16.304,0.16392221,7.630666667,0.127181593,8,0.363636364
Sunday,1,1:00,11598890288,0.22451143,227583504,0.031279045,12.592,0.145822192,22,0.109756098,13254.13182,0.458049556,504.6315896,0.072911557,21508.38312,1,669.3435605,0.083314768,12.40533333,0.121199281,7.125333333,0.104293738,8,0.363636364
Sunday,2,2:00,6949345224,0.133948488,176669624,0.022900188,10.609,0.095321771,17,0.048780488,8179.108647,0.254480424,387.144045,0.035445477,19513.94529,0.897279557,608.280594,0.065212596,10.23466667,0.09741237,6.709333333,0.08545202,8,0.363636364
Sunday,3,3:00,4305694456,0.082455968,200815160,0.0268738,11.041,0.106323376,20,0.085365854,22621.70346,0.833801224,718.5637783,0.141133261,20329.72976,0.939295277,867.7969647,0.14214646,4.846666667,0.038368814,5.934666667,0.05036536,8,0.363636364
Sunday,4,4:00,4987387424,0.095733852,304987240,0.044017317,11.774,0.12499045,24,0.134146341,6444.42128,0.184898712,331.2804261,0.017630901,13736.89952,0.599741729,451.4410305,0.018717364,8.816,0.081866133,7.398666667,0.116673712,8,0.363636364
Sunday,5,5:00,14928927128,0.289373246,987447440,0.156329251,20.968,0.359131077,38,0.304878049,3048.376873,0.048676711,525.8427744,0.079675678,9674.351489,0.390506461,751.3071081,0.107612936,39.568,0.418857118,12.964,0.368742074,10,0.545454545
Sunday,6,6:00,18468282616,0.35831213,1469591152,0.235675259,27.94,0.536684748,51,0.463414634,3381.920466,0.062055799,581.6997046,0.097488121,10087.71316,0.411796016,884.0427707,0.146962544,47.89733333,0.510132815,18.36,0.61314089,11,0.636363636
Sunday,7,7:00,19368184824,0.375840251,3131169576,0.509119903,25.071,0.463620852,47,0.414634146,4124.515958,0.09184276,1606.273968,0.424218767,10955.79757,0.456505364,1940.122533,0.460038354,43.48533333,0.461784603,19.444,0.662238058,10,0.545454545
Sunday,8,8:00,21137491176,0.41030246,4445015128,0.725338424,25.386,0.471642855,37,0.292682927,4639.231365,0.112489005,2572.911353,0.732473686,11134.60628,0.465714631,2784.711596,0.710417552,42.54266667,0.451454538,19.24666667,0.65330032,11,0.636363636
Sunday,9,9:00,15115277984,0.293002952,1956681704,0.315835365,24.763,0.455777116,45,0.390243902,4262.51952,0.097378354,881.9845563,0.193247176,9460.583287,0.37949666,1173.324505,0.232720379,43.38,0.460630324,17.03466667,0.553113111,10,0.545454545
